YEAR,ORDER_BY,X_AXIS,CUSTOMER_AGE_GROUP,TOTAL_VALUE,BRAND,DEPARTMENT,CLASS,VAR_SP,VAR_CM
2007,1,Jan,19-24,218.71,all,all,all,sales,month
2007,1,Jan,25-34,1238.8,all,all,all,sales,month
2007,1,Jan,35-44,1759.8600000000001,all,all,all,sales,month
2007,1,Jan,45-54,1224.76,all,all,all,sales,month
2007,1,Jan,55-64,117.7,all,all,all,sales,month
2007,1,Jan,65+,28.16,all,all,all,sales,month
2007,2,Feb,19-24,967.37,all,all,all,sales,month
2007,2,Feb,25-34,6906.31,all,all,all,sales,month
2007,2,Feb,35-44,5551.5,all,all,all,sales,month
2007,2,Feb,45-54,3738.2,all,all,all,sales,month
2007,2,Feb,55-64,469.79,all,all,all,sales,month
2007,2,Feb,65+,124.1,all,all,all,sales,month
2007,3,Mar,19-24,1635.19,all,all,all,sales,month
2007,3,Mar,25-34,15004.86,all,all,all,sales,month
2007,3,Mar,35-44,8251.73,all,all,all,sales,month
2007,3,Mar,45-54,5581.24,all,all,all,sales,month
2007,3,Mar,55-64,751.48,all,all,all,sales,month
2007,3,Mar,65+,252.5,all,all,all,sales,month
2007,4,Apr,19-24,2783.32,all,all,all,sales,month
2007,4,Apr,25-34,23332.46,all,all,all,sales,month
2007,4,Apr,35-44,12950.17,all,all,all,sales,month
2007,4,Apr,45-54,7839.13,all,all,all,sales,month
2007,4,Apr,55-64,784.62,all,all,all,sales,month
2007,4,Apr,65+,378.34,all,all,all,sales,month
2007,5,May,19-24,2429.8,all,all,all,sales,month
2007,5,May,25-34,40554.45,all,all,all,sales,month
2007,5,May,35-44,16507.25,all,all,all,sales,month
2007,5,May,45-54,11124.16,all,all,all,sales,month
2007,5,May,55-64,941.89,all,all,all,sales,month
2007,5,May,65+,497.07,all,all,all,sales,month
2007,6,Jun,19-24,1813.58,all,all,all,sales,month
2007,6,Jun,25-34,37695.84,all,all,all,sales,month
2007,6,Jun,35-44,13404.61,all,all,all,sales,month
2007,6,Jun,45-54,8283.11,all,all,all,sales,month
2007,6,Jun,55-64,960.63,all,all,all,sales,month
2007,6,Jun,65+,301.58,all,all,all,sales,month
2007,7,Jul,19-24,2355.8,all,all,all,sales,month
2007,7,Jul,25-34,35091.83,all,all,all,sales,month
2007,7,Jul,35-44,14035.34,all,all,all,sales,month
2007,7,Jul,45-54,8224.54,all,all,all,sales,month
2007,7,Jul,55-64,692.93,all,all,all,sales,month
2007,7,Jul,65+,389.55,all,all,all,sales,month
2007,8,Aug,19-24,2662.5,all,all,all,sales,month
2007,8,Aug,25-34,37592.62,all,all,all,sales,month
2007,8,Aug,35-44,17447.74,all,all,all,sales,month
2007,8,Aug,45-54,11616.06,all,all,all,sales,month
2007,8,Aug,55-64,650.61,all,all,all,sales,month
2007,8,Aug,65+,439.17,all,all,all,sales,month
2007,9,Sep,19-24,1645.8500000000001,all,all,all,sales,month
2007,9,Sep,25-34,29025.32,all,all,all,sales,month
2007,9,Sep,35-44,14371.58,all,all,all,sales,month
2007,9,Sep,45-54,9834.43,all,all,all,sales,month
2007,9,Sep,55-64,1189.36,all,all,all,sales,month
2007,9,Sep,65+,351.89,all,all,all,sales,month
2007,10,Oct,19-24,1683.24,all,all,all,sales,month
2007,10,Oct,25-34,29422.02,all,all,all,sales,month
2007,10,Oct,35-44,14534.3,all,all,all,sales,month
2007,10,Oct,45-54,9930.45,all,all,all,sales,month
2007,10,Oct,55-64,849.12,all,all,all,sales,month
2007,10,Oct,65+,446.26,all,all,all,sales,month
2007,11,Nov,19-24,2888.91,all,all,all,sales,month
2007,11,Nov,25-34,38143.5,all,all,all,sales,month
2007,11,Nov,35-44,18577.57,all,all,all,sales,month
2007,11,Nov,45-54,11911.76,all,all,all,sales,month
2007,11,Nov,55-64,1382.14,all,all,all,sales,month
2007,11,Nov,65+,625.31,all,all,all,sales,month
2007,12,Dec,19-24,2201.79,all,all,all,sales,month
2007,12,Dec,25-34,31348.53,all,all,all,sales,month
2007,12,Dec,35-44,16288.5,all,all,all,sales,month
2007,12,Dec,45-54,10174.58,all,all,all,sales,month
2007,12,Dec,55-64,1297.29,all,all,all,sales,month
2007,12,Dec,65+,329.08,all,all,all,sales,month
2008,1,Jan,19-24,2145.53,all,all,all,sales,month
2008,1,Jan,25-34,33193.38,all,all,all,sales,month
2008,1,Jan,35-44,15802.66,all,all,all,sales,month
2008,1,Jan,45-54,10883.31,all,all,all,sales,month
2008,1,Jan,55-64,991.63,all,all,all,sales,month
2008,1,Jan,65+,356.04,all,all,all,sales,month
2008,2,Feb,19-24,2790.51,all,all,all,sales,month
2008,2,Feb,25-34,47691.47,all,all,all,sales,month
2008,2,Feb,35-44,20141.02,all,all,all,sales,month
2008,2,Feb,45-54,12703.26,all,all,all,sales,month
2008,2,Feb,55-64,1030.63,all,all,all,sales,month
2008,2,Feb,65+,473.07,all,all,all,sales,month
2008,3,Mar,19-24,1785.77,all,all,all,sales,month
2008,3,Mar,25-34,37956.67,all,all,all,sales,month
2008,3,Mar,35-44,15744.39,all,all,all,sales,month
2008,3,Mar,45-54,10336.5,all,all,all,sales,month
2008,3,Mar,55-64,1098.04,all,all,all,sales,month
2008,3,Mar,65+,543.2,all,all,all,sales,month
2008,4,Apr,19-24,3436.7,all,all,all,sales,month
2008,4,Apr,25-34,39217.08,all,all,all,sales,month
2008,4,Apr,35-44,14904.74,all,all,all,sales,month
2008,4,Apr,45-54,10205.63,all,all,all,sales,month
2008,4,Apr,55-64,1022.1,all,all,all,sales,month
2008,4,Apr,65+,512.55,all,all,all,sales,month
2008,5,May,19-24,2471.36,all,all,all,sales,month
2008,5,May,25-34,50650.78,all,all,all,sales,month
2008,5,May,35-44,17830.75,all,all,all,sales,month
2008,5,May,45-54,13052.36,all,all,all,sales,month
2008,5,May,55-64,1186.95,all,all,all,sales,month
2008,5,May,65+,477.65999999999997,all,all,all,sales,month
2008,6,Jun,19-24,3582.94,all,all,all,sales,month
2008,6,Jun,25-34,34679.97,all,all,all,sales,month
2008,6,Jun,35-44,14832.46,all,all,all,sales,month
2008,6,Jun,45-54,9735.13,all,all,all,sales,month
2008,6,Jun,55-64,1493.86,all,all,all,sales,month
2008,6,Jun,65+,380.37,all,all,all,sales,month
2008,7,Jul,19-24,1747.6100000000001,all,all,all,sales,month
2008,7,Jul,25-34,31695.52,all,all,all,sales,month
2008,7,Jul,35-44,15161.67,all,all,all,sales,month
2008,7,Jul,45-54,9200.45,all,all,all,sales,month
2008,7,Jul,55-64,652.23,all,all,all,sales,month
2008,7,Jul,65+,405.84,all,all,all,sales,month
2008,8,Aug,19-24,2322.89,all,all,all,sales,month
2008,8,Aug,25-34,39441.15,all,all,all,sales,month
2008,8,Aug,35-44,18186.55,all,all,all,sales,month
2008,8,Aug,45-54,13108.84,all,all,all,sales,month
2008,8,Aug,55-64,1280.24,all,all,all,sales,month
2008,8,Aug,65+,514.45,all,all,all,sales,month
2008,9,Sep,19-24,1671.5800000000002,all,all,all,sales,month
2008,9,Sep,25-34,31950.46,all,all,all,sales,month
2008,9,Sep,35-44,14531.84,all,all,all,sales,month
2008,9,Sep,45-54,10235.09,all,all,all,sales,month
2008,9,Sep,55-64,1128.55,all,all,all,sales,month
2008,9,Sep,65+,335.98,all,all,all,sales,month
2008,10,Oct,19-24,2628.25,all,all,all,sales,month
2008,10,Oct,25-34,31371.18,all,all,all,sales,month
2008,10,Oct,35-44,15528.26,all,all,all,sales,month
2008,10,Oct,45-54,11578.7,all,all,all,sales,month
2008,10,Oct,55-64,601.17,all,all,all,sales,month
2008,10,Oct,65+,513.18,all,all,all,sales,month
2008,11,Nov,19-24,2625.46,all,all,all,sales,month
2008,11,Nov,25-34,39007.39,all,all,all,sales,month
2008,11,Nov,35-44,20959.38,all,all,all,sales,month
2008,11,Nov,45-54,13758.04,all,all,all,sales,month
2008,11,Nov,55-64,1263.05,all,all,all,sales,month
2008,11,Nov,65+,511.37,all,all,all,sales,month
2008,12,Dec,19-24,937.53,all,all,all,sales,month
2008,12,Dec,25-34,15724.63,all,all,all,sales,month
2008,12,Dec,35-44,6719.99,all,all,all,sales,month
2008,12,Dec,45-54,4311.75,all,all,all,sales,month
2008,12,Dec,55-64,515.1,all,all,all,sales,month
2008,12,Dec,65+,176.89,all,all,all,sales,month
2007,1,Jan,all,4587.99,all,all,all,sales,month
2007,2,Feb,all,17757.27,all,all,all,sales,month
2007,3,Mar,all,31477.0,all,all,all,sales,month
2007,4,Apr,all,48068.04,all,all,all,sales,month
2007,5,May,all,72054.62,all,all,all,sales,month
2007,6,Jun,all,62459.35,all,all,all,sales,month
2007,7,Jul,all,60789.990000000005,all,all,all,sales,month
2007,8,Aug,all,70408.7,all,all,all,sales,month
2007,9,Sep,all,56418.43,all,all,all,sales,month
2007,10,Oct,all,56865.39,all,all,all,sales,month
2007,11,Nov,all,73529.19,all,all,all,sales,month
2007,12,Dec,all,61639.77,all,all,all,sales,month
2008,1,Jan,all,63372.549999999996,all,all,all,sales,month
2008,2,Feb,all,84829.96,all,all,all,sales,month
2008,3,Mar,all,67464.56999999999,all,all,all,sales,month
2008,4,Apr,all,69298.8,all,all,all,sales,month
2008,5,May,all,85669.86,all,all,all,sales,month
2008,6,Jun,all,64704.73,all,all,all,sales,month
2008,7,Jul,all,58863.32,all,all,all,sales,month
2008,8,Aug,all,74854.12,all,all,all,sales,month
2008,9,Sep,all,59853.5,all,all,all,sales,month
2008,10,Oct,all,62220.74,all,all,all,sales,month
2008,11,Nov,all,78124.69,all,all,all,sales,month
2008,12,Dec,all,28385.89,all,all,all,sales,month
2007,1,Jan,19-24,135.81,NATIONAL,all,all,sales,month
2007,1,Jan,19-24,82.9,PRIVATE,all,all,sales,month
2007,1,Jan,25-34,674.11,NATIONAL,all,all,sales,month
2007,1,Jan,25-34,564.69,PRIVATE,all,all,sales,month
2007,1,Jan,35-44,719.89,NATIONAL,all,all,sales,month
2007,1,Jan,35-44,1039.97,PRIVATE,all,all,sales,month
2007,1,Jan,45-54,755.43,NATIONAL,all,all,sales,month
2007,1,Jan,45-54,469.33,PRIVATE,all,all,sales,month
2007,1,Jan,55-64,84.92,NATIONAL,all,all,sales,month
2007,1,Jan,55-64,32.78,PRIVATE,all,all,sales,month
2007,1,Jan,65+,25.21,NATIONAL,all,all,sales,month
2007,1,Jan,65+,2.9499999999999997,PRIVATE,all,all,sales,month
2007,2,Feb,19-24,721.48,NATIONAL,all,all,sales,month
2007,2,Feb,19-24,245.89000000000001,PRIVATE,all,all,sales,month
2007,2,Feb,25-34,2386.97,NATIONAL,all,all,sales,month
2007,2,Feb,25-34,4519.34,PRIVATE,all,all,sales,month
2007,2,Feb,35-44,2342.11,NATIONAL,all,all,sales,month
2007,2,Feb,35-44,3209.39,PRIVATE,all,all,sales,month
2007,2,Feb,45-54,2390.81,NATIONAL,all,all,sales,month
2007,2,Feb,45-54,1347.39,PRIVATE,all,all,sales,month
2007,2,Feb,55-64,386.95,NATIONAL,all,all,sales,month
2007,2,Feb,55-64,82.84,PRIVATE,all,all,sales,month
2007,2,Feb,65+,103.14,NATIONAL,all,all,sales,month
2007,2,Feb,65+,20.96,PRIVATE,all,all,sales,month
2007,3,Mar,19-24,1268.6,NATIONAL,all,all,sales,month
2007,3,Mar,19-24,366.59000000000003,PRIVATE,all,all,sales,month
2007,3,Mar,25-34,4334.47,NATIONAL,all,all,sales,month
2007,3,Mar,25-34,10670.39,PRIVATE,all,all,sales,month
2007,3,Mar,35-44,3661.46,NATIONAL,all,all,sales,month
2007,3,Mar,35-44,4590.27,PRIVATE,all,all,sales,month
2007,3,Mar,45-54,3734.88,NATIONAL,all,all,sales,month
2007,3,Mar,45-54,1846.36,PRIVATE,all,all,sales,month
2007,3,Mar,55-64,668.9399999999999,NATIONAL,all,all,sales,month
2007,3,Mar,55-64,82.54,PRIVATE,all,all,sales,month
2007,3,Mar,65+,224.93,NATIONAL,all,all,sales,month
2007,3,Mar,65+,27.57,PRIVATE,all,all,sales,month
2007,4,Apr,19-24,2261.64,NATIONAL,all,all,sales,month
2007,4,Apr,19-24,521.6800000000001,PRIVATE,all,all,sales,month
2007,4,Apr,25-34,6272.34,NATIONAL,all,all,sales,month
2007,4,Apr,25-34,17060.12,PRIVATE,all,all,sales,month
2007,4,Apr,35-44,5653.37,NATIONAL,all,all,sales,month
2007,4,Apr,35-44,7296.8,PRIVATE,all,all,sales,month
2007,4,Apr,45-54,4884.38,NATIONAL,all,all,sales,month
2007,4,Apr,45-54,2954.75,PRIVATE,all,all,sales,month
2007,4,Apr,55-64,677.58,NATIONAL,all,all,sales,month
2007,4,Apr,55-64,107.04,PRIVATE,all,all,sales,month
2007,4,Apr,65+,343.12,NATIONAL,all,all,sales,month
2007,4,Apr,65+,35.22,PRIVATE,all,all,sales,month
2007,5,May,19-24,1717.44,NATIONAL,all,all,sales,month
2007,5,May,19-24,712.36,PRIVATE,all,all,sales,month
2007,5,May,25-34,7975.45,NATIONAL,all,all,sales,month
2007,5,May,25-34,32579.0,PRIVATE,all,all,sales,month
2007,5,May,35-44,6644.01,NATIONAL,all,all,sales,month
2007,5,May,35-44,9863.24,PRIVATE,all,all,sales,month
2007,5,May,45-54,7175.55,NATIONAL,all,all,sales,month
2007,5,May,45-54,3948.61,PRIVATE,all,all,sales,month
2007,5,May,55-64,815.61,NATIONAL,all,all,sales,month
2007,5,May,55-64,126.28000000000002,PRIVATE,all,all,sales,month
2007,5,May,65+,421.67,NATIONAL,all,all,sales,month
2007,5,May,65+,75.39999999999999,PRIVATE,all,all,sales,month
2007,6,Jun,19-24,1171.04,NATIONAL,all,all,sales,month
2007,6,Jun,19-24,642.54,PRIVATE,all,all,sales,month
2007,6,Jun,25-34,6168.48,NATIONAL,all,all,sales,month
2007,6,Jun,25-34,31527.36,PRIVATE,all,all,sales,month
2007,6,Jun,35-44,6000.74,NATIONAL,all,all,sales,month
2007,6,Jun,35-44,7403.87,PRIVATE,all,all,sales,month
2007,6,Jun,45-54,5138.25,NATIONAL,all,all,sales,month
2007,6,Jun,45-54,3144.86,PRIVATE,all,all,sales,month
2007,6,Jun,55-64,843.64,NATIONAL,all,all,sales,month
2007,6,Jun,55-64,116.99000000000001,PRIVATE,all,all,sales,month
2007,6,Jun,65+,238.88,NATIONAL,all,all,sales,month
2007,6,Jun,65+,62.699999999999996,PRIVATE,all,all,sales,month
2007,7,Jul,19-24,1834.06,NATIONAL,all,all,sales,month
2007,7,Jul,19-24,521.74,PRIVATE,all,all,sales,month
2007,7,Jul,25-34,5819.07,NATIONAL,all,all,sales,month
2007,7,Jul,25-34,29272.76,PRIVATE,all,all,sales,month
2007,7,Jul,35-44,5901.21,NATIONAL,all,all,sales,month
2007,7,Jul,35-44,8134.13,PRIVATE,all,all,sales,month
2007,7,Jul,45-54,5010.46,NATIONAL,all,all,sales,month
2007,7,Jul,45-54,3214.08,PRIVATE,all,all,sales,month
2007,7,Jul,55-64,549.66,NATIONAL,all,all,sales,month
2007,7,Jul,55-64,143.27,PRIVATE,all,all,sales,month
2007,7,Jul,65+,301.69,NATIONAL,all,all,sales,month
2007,7,Jul,65+,87.86,PRIVATE,all,all,sales,month
2007,8,Aug,19-24,2312.48,NATIONAL,all,all,sales,month
2007,8,Aug,19-24,350.02,PRIVATE,all,all,sales,month
2007,8,Aug,25-34,6481.79,NATIONAL,all,all,sales,month
2007,8,Aug,25-34,31110.83,PRIVATE,all,all,sales,month
2007,8,Aug,35-44,6407.36,NATIONAL,all,all,sales,month
2007,8,Aug,35-44,11040.380000000001,PRIVATE,all,all,sales,month
2007,8,Aug,45-54,7430.81,NATIONAL,all,all,sales,month
2007,8,Aug,45-54,4185.25,PRIVATE,all,all,sales,month
2007,8,Aug,55-64,480.78,NATIONAL,all,all,sales,month
2007,8,Aug,55-64,169.83,PRIVATE,all,all,sales,month
2007,8,Aug,65+,348.08,NATIONAL,all,all,sales,month
2007,8,Aug,65+,91.08999999999999,PRIVATE,all,all,sales,month
2007,9,Sep,19-24,1310.8600000000001,NATIONAL,all,all,sales,month
2007,9,Sep,19-24,334.99,PRIVATE,all,all,sales,month
2007,9,Sep,25-34,5309.97,NATIONAL,all,all,sales,month
2007,9,Sep,25-34,23715.35,PRIVATE,all,all,sales,month
2007,9,Sep,35-44,5564.49,NATIONAL,all,all,sales,month
2007,9,Sep,35-44,8807.09,PRIVATE,all,all,sales,month
2007,9,Sep,45-54,5863.7,NATIONAL,all,all,sales,month
2007,9,Sep,45-54,3970.73,PRIVATE,all,all,sales,month
2007,9,Sep,55-64,1024.91,NATIONAL,all,all,sales,month
2007,9,Sep,55-64,164.45000000000002,PRIVATE,all,all,sales,month
2007,9,Sep,65+,294.25,NATIONAL,all,all,sales,month
2007,9,Sep,65+,57.64,PRIVATE,all,all,sales,month
2007,10,Oct,19-24,1373.13,NATIONAL,all,all,sales,month
2007,10,Oct,19-24,310.11,PRIVATE,all,all,sales,month
2007,10,Oct,25-34,5832.41,NATIONAL,all,all,sales,month
2007,10,Oct,25-34,23589.61,PRIVATE,all,all,sales,month
2007,10,Oct,35-44,5932.31,NATIONAL,all,all,sales,month
2007,10,Oct,35-44,8601.99,PRIVATE,all,all,sales,month
2007,10,Oct,45-54,6350.08,NATIONAL,all,all,sales,month
2007,10,Oct,45-54,3580.37,PRIVATE,all,all,sales,month
2007,10,Oct,55-64,688.59,NATIONAL,all,all,sales,month
2007,10,Oct,55-64,160.53,PRIVATE,all,all,sales,month
2007,10,Oct,65+,381.48,NATIONAL,all,all,sales,month
2007,10,Oct,65+,64.78,PRIVATE,all,all,sales,month
2007,11,Nov,19-24,2363.32,NATIONAL,all,all,sales,month
2007,11,Nov,19-24,525.59,PRIVATE,all,all,sales,month
2007,11,Nov,25-34,7839.35,NATIONAL,all,all,sales,month
2007,11,Nov,25-34,30304.15,PRIVATE,all,all,sales,month
2007,11,Nov,35-44,7660.42,NATIONAL,all,all,sales,month
2007,11,Nov,35-44,10917.15,PRIVATE,all,all,sales,month
2007,11,Nov,45-54,7657.69,NATIONAL,all,all,sales,month
2007,11,Nov,45-54,4254.07,PRIVATE,all,all,sales,month
2007,11,Nov,55-64,1185.71,NATIONAL,all,all,sales,month
2007,11,Nov,55-64,196.43,PRIVATE,all,all,sales,month
2007,11,Nov,65+,538.76,NATIONAL,all,all,sales,month
2007,11,Nov,65+,86.55,PRIVATE,all,all,sales,month
2007,12,Dec,19-24,1846.3,NATIONAL,all,all,sales,month
2007,12,Dec,19-24,355.49,PRIVATE,all,all,sales,month
2007,12,Dec,25-34,6149.09,NATIONAL,all,all,sales,month
2007,12,Dec,25-34,25199.44,PRIVATE,all,all,sales,month
2007,12,Dec,35-44,6308.5,NATIONAL,all,all,sales,month
2007,12,Dec,35-44,9980.0,PRIVATE,all,all,sales,month
2007,12,Dec,45-54,6788.6,NATIONAL,all,all,sales,month
2007,12,Dec,45-54,3385.98,PRIVATE,all,all,sales,month
2007,12,Dec,55-64,1137.7,NATIONAL,all,all,sales,month
2007,12,Dec,55-64,159.59,PRIVATE,all,all,sales,month
2007,12,Dec,65+,249.81,NATIONAL,all,all,sales,month
2007,12,Dec,65+,79.27,PRIVATE,all,all,sales,month
2008,1,Jan,19-24,1753.61,NATIONAL,all,all,sales,month
2008,1,Jan,19-24,391.92,PRIVATE,all,all,sales,month
2008,1,Jan,25-34,5426.88,NATIONAL,all,all,sales,month
2008,1,Jan,25-34,27766.5,PRIVATE,all,all,sales,month
2008,1,Jan,35-44,6185.01,NATIONAL,all,all,sales,month
2008,1,Jan,35-44,9617.65,PRIVATE,all,all,sales,month
2008,1,Jan,45-54,7275.9,NATIONAL,all,all,sales,month
2008,1,Jan,45-54,3607.41,PRIVATE,all,all,sales,month
2008,1,Jan,55-64,800.57,NATIONAL,all,all,sales,month
2008,1,Jan,55-64,191.06,PRIVATE,all,all,sales,month
2008,1,Jan,65+,294.27,NATIONAL,all,all,sales,month
2008,1,Jan,65+,61.769999999999996,PRIVATE,all,all,sales,month
2008,2,Feb,19-24,2138.59,NATIONAL,all,all,sales,month
2008,2,Feb,19-24,651.92,PRIVATE,all,all,sales,month
2008,2,Feb,25-34,7270.42,NATIONAL,all,all,sales,month
2008,2,Feb,25-34,40421.05,PRIVATE,all,all,sales,month
2008,2,Feb,35-44,8154.2,NATIONAL,all,all,sales,month
2008,2,Feb,35-44,11986.82,PRIVATE,all,all,sales,month
2008,2,Feb,45-54,8330.630000000001,NATIONAL,all,all,sales,month
2008,2,Feb,45-54,4372.63,PRIVATE,all,all,sales,month
