CUSTOMER_INCOME_LEVEL,YEAR,CUSTOMER_AGE_GROUP,PRIVATE,DEPARTMENT,CLASS,VAR_CM,ORDER_BY,X_AXIS,VAR_SP,NATIONAL
1,2008,all,1061.59,DRY FOOD,all,country,1,Sweden,sales,1622.52
1,2007,all,151.48,DRY FOOD,GROCERY,country,1,Bulgaria,sales,408.21
1,2007,all,1047.1499999999999,DRY FOOD,GROCERY,country,1,Belgium,sales,1972.64
1,2008,19-24,534.67,DRY FOOD,GROCERY,country,1,Sweden,sales,1563.43
1,2008,19-24,966.01,DRY FOOD,GROCERY,country,1,Spain,sales,3933.19
1,2008,19-24,700.55,DRY FOOD,GROCERY,country,1,Portugal,sales,1700.55
1,2008,19-24,269.49,DRY FOOD,GROCERY,country,1,Poland,sales,1044.49
1,2007,all,813.0,DRY FOOD,GROCERY,country,1,France,sales,1375.59
1,2008,19-24,205.41,DRY FOOD,GROCERY,country,1,Norway,sales,782.9300000000001
1,2008,19-24,27.8,DRY FOOD,GROCERY,country,1,Luxembourg,sales,131.25
1,2008,19-24,619.58,DRY FOOD,GROCERY,country,1,Lithuania,sales,2257.34
1,2008,19-24,115.89,DRY FOOD,GROCERY,country,1,Greece,sales,722.11
1,2008,19-24,501.74,DRY FOOD,GROCERY,country,1,Germany,sales,1855.76
1,2008,19-24,474.55,DRY FOOD,GROCERY,country,1,France,sales,1614.96
1,2008,19-24,293.31,DRY FOOD,GROCERY,country,1,Bulgaria,sales,915.32
1,2008,19-24,409.37,DRY FOOD,GROCERY,country,1,Netherlands,sales,1145.6100000000001
1,2008,19-24,632.92,DRY FOOD,GROCERY,country,1,Belgium,sales,1738.94
1,2007,all,875.8100000000001,DRY FOOD,GROCERY,country,1,Germany,sales,1744.5
1,2007,all,800.16,DRY FOOD,GROCERY,country,1,Lithuania,sales,1844.9
1,2008,all,59.85,DRY FOOD,GROCERY,country,1,Luxembourg,sales,135.64
1,2008,all,1124.5800000000002,DRY FOOD,GROCERY,country,1,Lithuania,sales,2479.48
1,2008,all,212.21,DRY FOOD,GROCERY,country,1,Greece,sales,739.6
1,2008,all,867.8,DRY FOOD,GROCERY,country,1,Germany,sales,1986.09
1,2008,all,809.25,DRY FOOD,GROCERY,country,1,France,sales,1723.72
1,2008,all,459.43,DRY FOOD,GROCERY,country,1,Bulgaria,sales,1021.5
1,2007,all,219.42,DRY FOOD,GROCERY,country,1,Greece,sales,407.55
1,2008,all,1140.3999999999999,DRY FOOD,GROCERY,country,1,Belgium,sales,1984.47
1,2007,all,1225.86,DRY FOOD,GROCERY,country,1,Spain,sales,3200.2000000000003
1,2007,all,966.42,DRY FOOD,GROCERY,country,1,Portugal,sales,1409.89
1,2007,all,463.24,DRY FOOD,GROCERY,country,1,Poland,sales,983.4100000000001
1,2007,all,399.2,DRY FOOD,GROCERY,country,1,Norway,sales,513.96
1,2007,all,640.2,DRY FOOD,GROCERY,country,1,Netherlands,sales,1340.2
1,2007,all,81.3,DRY FOOD,GROCERY,country,1,Luxembourg,sales,188.05
1,2007,all,869.78,DRY FOOD,GROCERY,country,1,Sweden,sales,1713.45
1,2007,19-24,500.95,DRY FOOD,GROCERY,country,1,Sweden,sales,1651.7
1,2007,19-24,731.48,DRY FOOD,GROCERY,country,1,Spain,sales,3050.36
1,2007,19-24,593.03,DRY FOOD,GROCERY,country,1,Portugal,sales,1284.3600000000001
1,2008,all,867.8,all,all,country,1,Germany,sales,2785.45
1,2008,all,809.25,all,all,country,1,France,sales,2169.89
1,2008,all,459.43,all,all,country,1,Bulgaria,sales,1388.56
1,2008,all,1140.3999999999999,all,all,country,1,Belgium,sales,2461.7
1,2007,all,869.78,all,all,country,1,Sweden,sales,2040.02
1,2007,all,1225.86,all,all,country,1,Spain,sales,3586.1600000000003
