YEAR,CUSTOMER_AGE_GROUP,DEPARTMENT,CLASS,PRODUCT_DESC,TOTAL_VALUE,VAR_SP
2007,19-24,DRY FOOD,GROCERY,CHOCOLATE MILK,2166.79,sales
2007,19-24,DRY FOOD,GROCERY,HOT DOG BUNS,2803.11,sales
2007,19-24,DRY FOOD,GROCERY,MAINSTREAM WHITE BREAD,2351.86,sales
2007,19-24,DRY FOOD,GROCERY,SFT DRNK 2 LITER BTL CARB INCL,1142.8600000000001,sales
2007,19-24,DRY FOOD,GROCERY,SNACKS/APPETIZERS,1615.24,sales
2007,19-24,DRY FOOD,GROCERY,SOFT DRINKS 12/18&15PK CAN CAR,13206.2,sales
2007,25-34,DRY FOOD,DRUG GM,CIGARETTES,4005.2,sales
2007,25-34,DRY FOOD,DRUG GM,NEWSPAPER,1256.49,sales
2007,25-34,DRY FOOD,GROCERY,CATSUP,1710.59,sales
2007,25-34,DRY FOOD,GROCERY,CORN,966.47,sales
2007,25-34,DRY FOOD,GROCERY,COTTAGE CHEESE,1994.8799999999999,sales
2007,25-34,DRY FOOD,GROCERY,CREAM CHEESE,1956.93,sales
2007,25-34,DRY FOOD,GROCERY,DAIRY CASE 100% PURE JUICE - O,1996.8,sales
2007,25-34,DRY FOOD,GROCERY,EGGS - LARGE,2681.41,sales
2007,25-34,DRY FOOD,GROCERY,EGGS - MEDIUM,1107.61,sales
2007,25-34,DRY FOOD,GROCERY,FLUID MILK WHITE ONLY,11544.44,sales
2007,25-34,DRY FOOD,GROCERY,IWS SINGLE CHEESE,5429.06,sales
2007,25-34,DRY FOOD,GROCERY,MAINSTREAM WHITE BREAD,6068.57,sales
2007,25-34,DRY FOOD,GROCERY,SFT DRNK SNGL SRV BTL CARB (EX,3168.04,sales
2007,25-34,DRY FOOD,GROCERY,SOFT DRINKS 12/18&15PK CAN CAR,5536.12,sales
2007,25-34,DRY FOOD,GROCERY,SOUP CRACKERS (SALTINE/OYSTER),1174.48,sales
2007,25-34,DRY FOOD,GROCERY,SUGAR,3334.15,sales
2007,25-34,DRY FOOD,GROCERY,TORTILLA/NACHO CHIPS,2831.62,sales
2007,25-34,FRESH FOOD,DELI,MEAT: LUNCHMEAT BULK,2299.99,sales
2007,25-34,FRESH FOOD,DELI,MEAT: SAUS DRY BULK,3746.62,sales
2007,25-34,FRESH FOOD,MEAT,CHICKEN BREAST BONELESS,13843.42,sales
2007,25-34,FRESH FOOD,PRODUCE,APPLES GRANNY SMITH (BULK&BAG),1849.4,sales
2007,25-34,FRESH FOOD,PRODUCE,AVOCADO,1711.97,sales
2007,25-34,FRESH FOOD,PRODUCE,CANTALOUPE WHOLE,2394.96,sales
2007,25-34,FRESH FOOD,PRODUCE,CORN YELLOW,1284.37,sales
2007,25-34,FRESH FOOD,PRODUCE,HEAD LETTUCE,2854.09,sales
2007,25-34,FRESH FOOD,PRODUCE,MUSHROOMS WHITE SLICED PKG,1510.32,sales
2007,25-34,FRESH FOOD,PRODUCE,ONIONS OTHER,1148.65,sales
2007,25-34,FRESH FOOD,PRODUCE,ONIONS SWEET (BULK&BAG),1792.43,sales
2007,25-34,FRESH FOOD,PRODUCE,PEPPERS GREEN BELL,2617.09,sales
2007,25-34,FRESH FOOD,PRODUCE,ROMA TOMATOES (BULK/PKG),1736.14,sales
2007,25-34,FRESH FOOD,PRODUCE,WATERMELON SEEDLESS WHOLE,1877.42,sales
2007,25-34,NON FOOD,KIOSK-GAS,GASOLINE-REG UNLEADED,209417.32,sales
2007,25-34,NON FOOD,MISC SALES TRAN,GASOLINE-REG UNLEADED,18509.49,sales
2007,35-44,DRY FOOD,DRUG GM,CANDY BARS (SINGLES)(INCLUDING,720.51,sales
2007,35-44,DRY FOOD,GROCERY,APPLE JUICE & CIDER (OVER 50%,1762.24,sales
2007,35-44,DRY FOOD,GROCERY,CHOCOLATE MILK,3819.3,sales
2007,35-44,DRY FOOD,GROCERY,CONDENSED SOUP,2497.8,sales
2007,35-44,DRY FOOD,GROCERY,EGGS - LARGE,3822.78,sales
2007,35-44,DRY FOOD,GROCERY,EGGS - X-LARGE,5524.58,sales
2007,35-44,DRY FOOD,GROCERY,FLUID MILK WHITE ONLY,37028.32,sales
2007,35-44,DRY FOOD,GROCERY,HAMBURGER BUNS,2891.13,sales
2007,35-44,DRY FOOD,GROCERY,IWS SINGLE CHEESE,2340.67,sales
2007,35-44,DRY FOOD,GROCERY,MAINSTREAM WHITE BREAD,2086.61,sales
2007,35-44,DRY FOOD,GROCERY,NON-CRBNTD DRNKING/MNERAL WATE,4805.03,sales
2007,35-44,DRY FOOD,GROCERY,POTATO CHIPS,2122.16,sales
2007,35-44,DRY FOOD,GROCERY,SFT DRNK 2 LITER BTL CARB INCL,280.46999999999997,sales
2007,35-44,DRY FOOD,GROCERY,SFT DRNK MLT-PK BTL CARB (EXCP,1000.32,sales
2007,35-44,DRY FOOD,GROCERY,SHREDDED CHEESE,3164.6,sales
2007,35-44,DRY FOOD,GROCERY,SOFT DRINKS 12/18&15PK CAN CAR,12080.69,sales
2007,35-44,DRY FOOD,GROCERY,TOILET TISSUE,2348.62,sales
2007,35-44,DRY FOOD,GROCERY,TORTILLA/NACHO CHIPS,1491.43,sales
2007,35-44,DRY FOOD,GROCERY,TUNA,978.41,sales
2007,35-44,FRESH FOOD,PASTRY,SW GDS:DONUTS,1785.18,sales
2007,35-44,FRESH FOOD,PRODUCE,APPLES GOLD DELICIOUS (BULK&BA,1276.99,sales
2007,35-44,FRESH FOOD,PRODUCE,BANANAS,12922.92,sales
2007,35-44,FRESH FOOD,PRODUCE,BROCCOLI WHOLE&CROWNS,1750.01,sales
2007,35-44,FRESH FOOD,PRODUCE,CABBAGE,1324.0,sales
2007,35-44,FRESH FOOD,PRODUCE,CUCUMBERS,2339.84,sales
2007,35-44,FRESH FOOD,PRODUCE,GARDEN PLUS,2472.55,sales
2007,35-44,FRESH FOOD,PRODUCE,GARLIC WHOLE CLOVES,337.58,sales
2007,35-44,FRESH FOOD,PRODUCE,GRAPES RED,1581.96,sales
2007,35-44,FRESH FOOD,PRODUCE,LEMONS,952.87,sales
2007,35-44,FRESH FOOD,PRODUCE,ONIONS SWEET (BULK&BAG),1049.74,sales
2007,35-44,FRESH FOOD,PRODUCE,ONIONS YELLOW (BULK&BAG),2552.34,sales
2007,35-44,FRESH FOOD,PRODUCE,POTATOES RUSSET (BULK&BAG),8408.33,sales
2007,35-44,FRESH FOOD,PRODUCE,POTATOES SWEET&YAMS,1523.71,sales
2007,35-44,FRESH FOOD,PRODUCE,TOMATOES GRAPE,2158.64,sales
2007,35-44,FRESH FOOD,SALAD BAR,SALAD BAR FRESH FRUIT,5955.01,sales
2007,35-44,NON FOOD,MISC SALES TRAN,GASOLINE-REG UNLEADED,14522.81,sales
2007,45-54,DRY FOOD,GROCERY,BEANS GREEN: FS/WHL/CUT,987.29,sales
2007,45-54,DRY FOOD,GROCERY,BUTTER,1809.94,sales
2007,45-54,DRY FOOD,GROCERY,CREAM CHEESE,2054.09,sales
2007,45-54,DRY FOOD,GROCERY,FLUID MILK WHITE ONLY,19264.920000000002,sales
2007,45-54,DRY FOOD,GROCERY,MACARONI & CHEESE DNRS,1030.74,sales
2007,45-54,DRY FOOD,GROCERY,MAINSTREAM WHEAT/MULTIGRAIN BR,2123.73,sales
2007,45-54,DRY FOOD,GROCERY,MAINSTREAM WHITE BREAD,3846.87,sales
2007,45-54,DRY FOOD,GROCERY,SFT DRNK 2 LITER BTL CARB INCL,8078.49,sales
2007,45-54,DRY FOOD,GROCERY,SFT DRNK SNGL SRV BTL CARB (EX,478.61,sales
2007,45-54,DRY FOOD,GROCERY,SHREDDED CHEESE,2963.27,sales
2007,45-54,DRY FOOD,GROCERY,SNACK CAKE - MULTI PACK,495.82,sales
2007,45-54,DRY FOOD,GROCERY,SOUR CREAMS,1554.73,sales
2007,45-54,FRESH FOOD,DELI,PREP FD: SIDE DISHES (HOT),5324.65,sales
2007,45-54,FRESH FOOD,MEAT,PRIMAL,8792.11,sales
2007,45-54,FRESH FOOD,MEAT-PCKGD,ENTREES,2266.8,sales
2007,45-54,FRESH FOOD,MEAT-PCKGD,PREMIUM - MEAT,2880.82,sales
2007,45-54,FRESH FOOD,PRODUCE,APPLES GALA (BULK&BAG),1941.42,sales
2007,45-54,FRESH FOOD,PRODUCE,CARROTS MINI PEELED,3751.0299999999997,sales
2007,45-54,FRESH FOOD,PRODUCE,CELERY,1271.16,sales
2007,45-54,FRESH FOOD,PRODUCE,GARDEN PLUS,2173.27,sales
2007,45-54,FRESH FOOD,PRODUCE,GRAPES RED,4370.35,sales
2007,45-54,FRESH FOOD,PRODUCE,GRAPES WHITE,5506.2,sales
2007,45-54,FRESH FOOD,PRODUCE,HEAD LETTUCE,524.26,sales
2007,45-54,FRESH FOOD,PRODUCE,ORANGES NAVELS ALL,823.64,sales
2007,45-54,FRESH FOOD,PRODUCE,PEPPERS RED BELL,905.6,sales
2007,45-54,FRESH FOOD,PRODUCE,REGULAR GARDEN,2201.96,sales
2007,45-54,FRESH FOOD,PRODUCE,SQUASH ZUCCHINI,771.15,sales
2007,45-54,FRESH FOOD,PRODUCE,STRAWBERRIES,7011.88,sales
2007,45-54,FRESH FOOD,PRODUCE,TOMATOES HOTHOUSE ON THE VINE,4277.62,sales
2007,55-64,FRESH FOOD,MEAT,LEAN,8544.99,sales
2007,55-64,FRESH FOOD,PRODUCE,CARROTS MINI PEELED,1542.5700000000002,sales
2007,65+,DRY FOOD,GROCERY,SFT DRNK 2 LITER BTL CARB INCL,691.99,sales
2007,65+,FRESH FOOD,PRODUCE,TOMATOES VINE RIPE BULK,3471.02,sales
2008,19-24,DRY FOOD,GROCERY,CHOCOLATE MILK,2329.48,sales
2008,19-24,DRY FOOD,GROCERY,HOT DOG BUNS,3421.81,sales
