YEAR,ORDER_BY,X_AXIS,CUSTOMER_AGE_GROUP,TOTAL_VALUE,BRAND,DEPARTMENT,CLASS,PRODUCT_DESC,VAR_SP,VAR_CM
2007,1,Jan,19-24,71.58,all,all,all,all,sales,month
2007,1,Jan,25-34,583.63,all,all,all,all,sales,month
2007,1,Jan,35-44,537.03,all,all,all,all,sales,month
2007,1,Jan,45-54,482.61,all,all,all,all,sales,month
2007,1,Jan,55-64,87.9,all,all,all,all,sales,month
2007,1,Jan,65+,24.68,all,all,all,all,sales,month
2007,2,Feb,19-24,179.71,all,all,all,all,sales,month
2007,2,Feb,25-34,3446.5,all,all,all,all,sales,month
2007,2,Feb,35-44,1170.46,all,all,all,all,sales,month
2007,2,Feb,45-54,1236.49,all,all,all,all,sales,month
2007,2,Feb,55-64,367.79,all,all,all,all,sales,month
2007,2,Feb,65+,105.64,all,all,all,all,sales,month
2007,3,Mar,19-24,246.62,all,all,all,all,sales,month
2007,3,Mar,25-34,7284.46,all,all,all,all,sales,month
2007,3,Mar,35-44,1443.37,all,all,all,all,sales,month
2007,3,Mar,45-54,1583.69,all,all,all,all,sales,month
2007,3,Mar,55-64,615.83,all,all,all,all,sales,month
2007,3,Mar,65+,183.74,all,all,all,all,sales,month
2007,4,Apr,19-24,318.48,all,all,all,all,sales,month
2007,4,Apr,25-34,11457.13,all,all,all,all,sales,month
2007,4,Apr,35-44,2434.13,all,all,all,all,sales,month
2007,4,Apr,45-54,1749.27,all,all,all,all,sales,month
2007,4,Apr,55-64,611.94,all,all,all,all,sales,month
2007,4,Apr,65+,267.25,all,all,all,all,sales,month
2007,5,May,19-24,276.23,all,all,all,all,sales,month
2007,5,May,25-34,19917.74,all,all,all,all,sales,month
2007,5,May,35-44,3148.89,all,all,all,all,sales,month
2007,5,May,45-54,2300.55,all,all,all,all,sales,month
2007,5,May,55-64,717.47,all,all,all,all,sales,month
2007,5,May,65+,326.92,all,all,all,all,sales,month
2007,6,Jun,19-24,234.68,all,all,all,all,sales,month
2007,6,Jun,25-34,19516.06,all,all,all,all,sales,month
2007,6,Jun,35-44,2778.49,all,all,all,all,sales,month
2007,6,Jun,45-54,1591.75,all,all,all,all,sales,month
2007,6,Jun,55-64,699.29,all,all,all,all,sales,month
2007,6,Jun,65+,207.46,all,all,all,all,sales,month
2007,7,Jul,19-24,443.18,all,all,all,all,sales,month
2007,7,Jul,25-34,18933.97,all,all,all,all,sales,month
2007,7,Jul,35-44,3286.2,all,all,all,all,sales,month
2007,7,Jul,45-54,1876.99,all,all,all,all,sales,month
2007,7,Jul,55-64,485.24,all,all,all,all,sales,month
2007,7,Jul,65+,281.33,all,all,all,all,sales,month
2007,8,Aug,19-24,543.05,all,all,all,all,sales,month
2007,8,Aug,25-34,19088.29,all,all,all,all,sales,month
2007,8,Aug,35-44,3169.46,all,all,all,all,sales,month
2007,8,Aug,45-54,2782.27,all,all,all,all,sales,month
2007,8,Aug,55-64,414.7,all,all,all,all,sales,month
2007,8,Aug,65+,253.44,all,all,all,all,sales,month
2007,9,Sep,19-24,186.61,all,all,all,all,sales,month
2007,9,Sep,25-34,14681.55,all,all,all,all,sales,month
2007,9,Sep,35-44,2805.14,all,all,all,all,sales,month
2007,9,Sep,45-54,2367.65,all,all,all,all,sales,month
2007,9,Sep,55-64,886.16,all,all,all,all,sales,month
2007,9,Sep,65+,270.58,all,all,all,all,sales,month
2007,10,Oct,19-24,230.49,all,all,all,all,sales,month
2007,10,Oct,25-34,14097.4,all,all,all,all,sales,month
2007,10,Oct,35-44,2585.48,all,all,all,all,sales,month
2007,10,Oct,45-54,2439.58,all,all,all,all,sales,month
2007,10,Oct,55-64,616.95,all,all,all,all,sales,month
2007,10,Oct,65+,302.39,all,all,all,all,sales,month
2007,11,Nov,19-24,386.46999999999997,all,all,all,all,sales,month
2007,11,Nov,25-34,17805.39,all,all,all,all,sales,month
2007,11,Nov,35-44,3256.44,all,all,all,all,sales,month
2007,11,Nov,45-54,2421.27,all,all,all,all,sales,month
2007,11,Nov,55-64,1031.66,all,all,all,all,sales,month
2007,11,Nov,65+,403.25,all,all,all,all,sales,month
2007,12,Dec,19-24,401.97,all,all,all,all,sales,month
2007,12,Dec,25-34,15742.08,all,all,all,all,sales,month
2007,12,Dec,35-44,3223.64,all,all,all,all,sales,month
2007,12,Dec,45-54,2071.8,all,all,all,all,sales,month
2007,12,Dec,55-64,1001.63,all,all,all,all,sales,month
2007,12,Dec,65+,214.54999999999998,all,all,all,all,sales,month
2008,1,Jan,19-24,232.25,all,all,all,all,sales,month
2008,1,Jan,25-34,16966.53,all,all,all,all,sales,month
2008,1,Jan,35-44,2639.05,all,all,all,all,sales,month
2008,1,Jan,45-54,2267.31,all,all,all,all,sales,month
2008,1,Jan,55-64,705.69,all,all,all,all,sales,month
2008,1,Jan,65+,243.34,all,all,all,all,sales,month
2008,2,Feb,19-24,568.36,all,all,all,all,sales,month
2008,2,Feb,25-34,24424.4,all,all,all,all,sales,month
2008,2,Feb,35-44,4002.48,all,all,all,all,sales,month
2008,2,Feb,45-54,2380.4900000000002,all,all,all,all,sales,month
2008,2,Feb,55-64,753.84,all,all,all,all,sales,month
2008,2,Feb,65+,279.09,all,all,all,all,sales,month
2008,3,Mar,19-24,191.59,all,all,all,all,sales,month
2008,3,Mar,25-34,19202.34,all,all,all,all,sales,month
2008,3,Mar,35-44,3011.82,all,all,all,all,sales,month
2008,3,Mar,45-54,1975.65,all,all,all,all,sales,month
2008,3,Mar,55-64,859.79,all,all,all,all,sales,month
2008,3,Mar,65+,357.1,all,all,all,all,sales,month
2008,4,Apr,19-24,321.04,all,all,all,all,sales,month
