WEEK_NO,CLASS,SUB_CLASS,PRODUCT_DESC,YEAR,QUARTERS,DEPARTMENT,QUANTITY,DISCOUNT_YN,VAR_GRP
1,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,1,FRESH FOOD,1.0,0,Q
3,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,1,FRESH FOOD,6.0,1,Q
4,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,1,FRESH FOOD,5.0,1,Q
5,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,1,FRESH FOOD,6.0,1,Q
6,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,1,FRESH FOOD,1.0,0,Q
7,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,1,FRESH FOOD,1.0,0,Q
8,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,1,FRESH FOOD,1.0,0,Q
9,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,1,FRESH FOOD,3.0,0,Q
10,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,1,FRESH FOOD,3.0,0,Q
11,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,1,FRESH FOOD,3.0,0,Q
12,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,1,FRESH FOOD,1.0,0,Q
13,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,1,FRESH FOOD,3.0,0,Q
14,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,2,FRESH FOOD,21.0,1,Q
15,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,2,FRESH FOOD,14.0,1,Q
16,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,2,FRESH FOOD,22.0,1,Q
17,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,2,FRESH FOOD,19.0,1,Q
18,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,2,FRESH FOOD,3.0,0,Q
19,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,2,FRESH FOOD,14.0,1,Q
20,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,2,FRESH FOOD,1.0,0,Q
21,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,2,FRESH FOOD,3.0,0,Q
22,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,2,FRESH FOOD,3.0,0,Q
23,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,2,FRESH FOOD,1.0,0,Q
24,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,2,FRESH FOOD,3.0,0,Q
25,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,2,FRESH FOOD,1.0,0,Q
26,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,2,FRESH FOOD,3.0,0,Q
27,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,3,FRESH FOOD,3.0,0,Q
28,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,3,FRESH FOOD,1.0,0,Q
29,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,3,FRESH FOOD,1.0,0,Q
30,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,3,FRESH FOOD,1.0,0,Q
31,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,3,FRESH FOOD,1.0,0,Q
32,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,3,FRESH FOOD,3.0,0,Q
33,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,3,FRESH FOOD,1.0,0,Q
34,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,3,FRESH FOOD,3.0,0,Q
35,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,3,FRESH FOOD,1.0,0,Q
36,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,3,FRESH FOOD,1.0,0,Q
37,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,3,FRESH FOOD,3.0,0,Q
38,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,3,FRESH FOOD,1.0,0,Q
39,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK,2007,3,FRESH FOOD,3.0,0,Q
