DEPARTMENT,CLASS,SUB_CLASS,PRODUCT_DESC
DRY FOOD,DRUG GM,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING
DRY FOOD,DRUG GM,CIGARETTES,CIGARETTES
DRY FOOD,DRUG GM,NEWSPAPER,NEWSPAPER
DRY FOOD,GROCERY,BAG SNACKS,POTATO CHIPS
DRY FOOD,GROCERY,BAG SNACKS,TORTILLA/NACHO CHIPS
DRY FOOD,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS
DRY FOOD,GROCERY,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS
DRY FOOD,GROCERY,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR
DRY FOOD,GROCERY,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD
DRY FOOD,GROCERY,BAKED SWEET GOODS,SNACK CAKE - MULTI PACK
DRY FOOD,GROCERY,BATH TISSUES,TOILET TISSUE
DRY FOOD,GROCERY,BUTTER,BUTTER
DRY FOOD,GROCERY,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%
DRY FOOD,GROCERY,CHEESE,CREAM CHEESE
DRY FOOD,GROCERY,CHEESE,IWS SINGLE CHEESE
DRY FOOD,GROCERY,CHEESE,SHREDDED CHEESE
DRY FOOD,GROCERY,CONDIMENTS/SAUCES,CATSUP
DRY FOOD,GROCERY,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER)
DRY FOOD,GROCERY,DINNER MXS:DRY,MACARONI & CHEESE DNRS
DRY FOOD,GROCERY,EGGS,EGGS - LARGE
DRY FOOD,GROCERY,EGGS,EGGS - MEDIUM
DRY FOOD,GROCERY,EGGS,EGGS - X-LARGE
DRY FOOD,GROCERY,FLUID MILK PRODUCTS,CHOCOLATE MILK
DRY FOOD,GROCERY,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY
DRY FOOD,GROCERY,FROZEN PIZZA,SNACKS/APPETIZERS
DRY FOOD,GROCERY,MILK BY-PRODUCTS,COTTAGE CHEESE
DRY FOOD,GROCERY,MILK BY-PRODUCTS,SOUR CREAMS
DRY FOOD,GROCERY,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O
DRY FOOD,GROCERY,SEAFOOD - SHELF STABLE,TUNA
DRY FOOD,GROCERY,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL
DRY FOOD,GROCERY,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP
DRY FOOD,GROCERY,SOFT DRINKS,SFT DRNK SNGL SRV BTL CARB (EX
DRY FOOD,GROCERY,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR
DRY FOOD,GROCERY,SOUP,CONDENSED SOUP
DRY FOOD,GROCERY,SUGARS/SWEETNERS,SUGAR
DRY FOOD,GROCERY,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT
DRY FOOD,GROCERY,VEGETABLES - SHELF STABLE,CORN
DRY FOOD,GROCERY,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE
FRESH FOOD,DELI,DELI MEATS,MEAT: LUNCHMEAT BULK
FRESH FOOD,DELI,DELI MEATS,MEAT: SAUS DRY BULK
FRESH FOOD,DELI,PREPARED FOOD,PREP FD: SIDE DISHES (HOT)
FRESH FOOD,MEAT,BEEF,LEAN
FRESH FOOD,MEAT,BEEF,PRIMAL
FRESH FOOD,MEAT,CHICKEN,CHICKEN BREAST BONELESS
