DEPARTMENT,CUSTOMER_AGE_GROUP,VALUE_2007,BRAND,ORDER_BY,X_AXIS,VAR_CM,VAR_SP,VALUE_2008
DRY FOOD,19-24,23286,all,0,all,all,sales,28146.0
DRY FOOD,25-34,56763,all,0,all,all,sales,62667.0
DRY FOOD,35-44,90766,all,0,all,all,sales,108267.0
DRY FOOD,45-54,44688,all,0,all,all,sales,55955.0
DRY FOOD,65+,692,all,0,all,all,sales,769.0
FRESH FOOD,25-34,40667,all,0,all,all,sales,47661.0
FRESH FOOD,35-44,48392,all,0,all,all,sales,63005.0
FRESH FOOD,45-54,54794,all,0,all,all,sales,73154.0
FRESH FOOD,55-64,10088,all,0,all,all,sales,12264.0
FRESH FOOD,65+,3471,all,0,all,all,sales,4431.0
NON FOOD,25-34,227927,all,0,all,all,sales,322252.0
NON FOOD,35-44,14523,all,0,all,all,sales,19072.0
DRY FOOD,all,216195,all,0,all,all,sales,255805.0
FRESH FOOD,all,157411,all,0,all,all,sales,200515.0
NON FOOD,all,242450,all,0,all,all,sales,341323.0
DRY FOOD,19-24,18316,NATIONAL,0,all,all,sales,22395.0
DRY FOOD,19-24,4970,PRIVATE,0,all,all,sales,5751.0
DRY FOOD,25-34,24577,NATIONAL,0,all,all,sales,25183.0
DRY FOOD,25-34,32186,PRIVATE,0,all,all,sales,37485.0
DRY FOOD,35-44,27524,NATIONAL,0,all,all,sales,30829.0
DRY FOOD,35-44,63242,PRIVATE,0,all,all,sales,77437.0
DRY FOOD,45-54,12138,NATIONAL,0,all,all,sales,14898.0
DRY FOOD,45-54,32551,PRIVATE,0,all,all,sales,41057.0
DRY FOOD,65+,692,PRIVATE,0,all,all,sales,769.0
FRESH FOOD,25-34,40667,NATIONAL,0,all,all,sales,47661.0
FRESH FOOD,35-44,35272,NATIONAL,0,all,all,sales,45689.0
FRESH FOOD,35-44,13119,PRIVATE,0,all,all,sales,17316.0
FRESH FOOD,45-54,51043,NATIONAL,0,all,all,sales,68622.0
FRESH FOOD,45-54,3751,PRIVATE,0,all,all,sales,4533.0
FRESH FOOD,55-64,8545,NATIONAL,0,all,all,sales,10351.0
FRESH FOOD,55-64,1543,PRIVATE,0,all,all,sales,1912.0
FRESH FOOD,65+,3471,NATIONAL,0,all,all,sales,4431.0
NON FOOD,25-34,227927,PRIVATE,0,all,all,sales,322252.0
NON FOOD,35-44,14523,PRIVATE,0,all,all,sales,19072.0
DRY FOOD,all,82554,NATIONAL,0,all,all,sales,93305.0
DRY FOOD,all,133641,PRIVATE,0,all,all,sales,162499.0
FRESH FOOD,all,138998,NATIONAL,0,all,all,sales,176754.0
FRESH FOOD,all,18413,PRIVATE,0,all,all,sales,23761.0
NON FOOD,all,242450,PRIVATE,0,all,all,sales,341323.0
DRY FOOD,19-24,219,all,1,Jan,month,sales,2146.0
DRY FOOD,19-24,967,all,2,Feb,month,sales,2791.0
DRY FOOD,19-24,1635,all,3,Mar,month,sales,1786.0
DRY FOOD,19-24,2783,all,4,Apr,month,sales,3437.0
DRY FOOD,19-24,2430,all,5,May,month,sales,2471.0
DRY FOOD,19-24,1814,all,6,Jun,month,sales,3583.0
DRY FOOD,19-24,2356,all,7,Jul,month,sales,1748.0
DRY FOOD,19-24,2662,all,8,Aug,month,sales,2323.0
