CUSTOMER_INCOME_LEVEL,YEAR,CUSTOMER_AGE_GROUP,PRIVATE,DEPARTMENT,CLASS,VAR_CM,ORDER_BY,X_AXIS,VAR_SP,NATIONAL
1,2008,all,0.0,FRESH FOOD,PRODUCE,item,1,ROMA TOMATOES (BULK/PKG),profit,1145.86
1,2007,19-24,21.65,DRY FOOD,GROCERY,country,1,Luxembourg,profit,79.47
1,2007,19-24,71.57,DRY FOOD,GROCERY,country,1,Lithuania,profit,220.15
1,2007,19-24,38.64,DRY FOOD,GROCERY,country,1,Greece,profit,115.17
1,2007,19-24,72.76,DRY FOOD,GROCERY,country,1,Germany,profit,384.35
1,2007,19-24,80.17,DRY FOOD,GROCERY,country,1,France,profit,268.79
1,2007,19-24,25.45,DRY FOOD,GROCERY,country,1,Bulgaria,profit,104.97
1,2007,19-24,107.82,DRY FOOD,GROCERY,country,1,Belgium,profit,374.14
1,2007,25-34,0.0,all,all,month,1,Jan,profit,29.83
1,2007,25-34,0.0,all,all,month,2,Feb,profit,87.42
1,2007,25-34,0.0,all,all,month,3,Mar,profit,104.28999999999999
1,2007,25-34,0.0,all,all,month,4,Apr,profit,145.85999999999999
1,2007,25-34,0.0,all,all,month,5,May,profit,157.07
1,2007,25-34,0.0,all,all,month,6,Jun,profit,72.92999999999999
1,2007,25-34,0.0,all,all,month,7,Jul,profit,84.27
1,2007,25-34,0.0,all,all,month,8,Aug,profit,99.83
1,2007,19-24,72.56,DRY FOOD,GROCERY,country,1,Netherlands,profit,257.85
1,2007,19-24,31.06,DRY FOOD,GROCERY,country,1,Norway,profit,168.57
1,2007,19-24,41.95,DRY FOOD,GROCERY,country,1,Poland,profit,235.04999999999998
1,2007,19-24,99.67,DRY FOOD,GROCERY,country,1,Portugal,profit,226.14
1,2007,65+,16.38,DRY FOOD,GROCERY,country,1,Belgium,profit,0.0
1,2007,35-44,58.32,DRY FOOD,GROCERY,country,1,Sweden,profit,0.0
1,2007,35-44,40.71,DRY FOOD,GROCERY,country,1,Spain,profit,0.0
1,2007,35-44,40.31,DRY FOOD,GROCERY,country,1,Portugal,profit,0.0
1,2007,35-44,25.5,DRY FOOD,GROCERY,country,1,Poland,profit,0.0
1,2007,35-44,25.06,DRY FOOD,GROCERY,country,1,Norway,profit,0.0
1,2007,35-44,26.46,DRY FOOD,GROCERY,country,1,Netherlands,profit,0.0
1,2007,25-34,0.0,all,all,month,9,Sep,profit,108.61
1,2007,35-44,9.83,DRY FOOD,GROCERY,country,1,Luxembourg,profit,0.0
1,2007,35-44,29.689999999999998,DRY FOOD,GROCERY,country,1,Greece,profit,0.0
