YEAR,child,CUSTOMER_AGE_GROUP,VAR_SP,parent,TOTAL_VALUE
2007,DRY FOOD,25-34,sales,root,
2007,DRY FOOD,35-44,sales,root,
2007,DRY FOOD,19-24,sales,root,
2007,DRY FOOD,45-54,sales,root,
2007,DRY FOOD,65+,sales,root,
2007,FRESH FOOD,25-34,sales,root,
2007,FRESH FOOD,45-54,sales,root,
2007,FRESH FOOD,55-64,sales,root,
2007,FRESH FOOD,35-44,sales,root,
2007,FRESH FOOD,65+,sales,root,
2007,NON FOOD,25-34,sales,root,
2007,NON FOOD,35-44,sales,root,
2008,DRY FOOD,25-34,sales,root,
2008,DRY FOOD,35-44,sales,root,
2008,DRY FOOD,19-24,sales,root,
2008,DRY FOOD,45-54,sales,root,
2008,DRY FOOD,65+,sales,root,
2008,FRESH FOOD,25-34,sales,root,
2008,FRESH FOOD,45-54,sales,root,
2008,FRESH FOOD,55-64,sales,root,
2008,FRESH FOOD,35-44,sales,root,
2008,FRESH FOOD,65+,sales,root,
2008,NON FOOD,25-34,sales,root,
2008,NON FOOD,35-44,sales,root,
2007,DRY FOOD,all,sales,root,
2007,FRESH FOOD,all,sales,root,
2007,NON FOOD,all,sales,root,
2008,DRY FOOD,all,sales,root,
2008,FRESH FOOD,all,sales,root,
2008,NON FOOD,all,sales,root,
2007,DRY FOOD,25-34,profit,root,
2007,DRY FOOD,35-44,profit,root,
2007,DRY FOOD,19-24,profit,root,
2007,DRY FOOD,45-54,profit,root,
2007,DRY FOOD,65+,profit,root,
2007,FRESH FOOD,25-34,profit,root,
2007,FRESH FOOD,45-54,profit,root,
2007,FRESH FOOD,55-64,profit,root,
2007,FRESH FOOD,35-44,profit,root,
2007,FRESH FOOD,65+,profit,root,
2007,NON FOOD,25-34,profit,root,
2007,NON FOOD,35-44,profit,root,
2008,DRY FOOD,25-34,profit,root,
2008,DRY FOOD,35-44,profit,root,
2008,DRY FOOD,19-24,profit,root,
2008,DRY FOOD,45-54,profit,root,
2008,DRY FOOD,65+,profit,root,
2008,FRESH FOOD,25-34,profit,root,
2008,FRESH FOOD,45-54,profit,root,
2008,FRESH FOOD,55-64,profit,root,
2008,FRESH FOOD,35-44,profit,root,
2008,FRESH FOOD,65+,profit,root,
2008,NON FOOD,25-34,profit,root,
2008,NON FOOD,35-44,profit,root,
2007,DRY FOOD,all,profit,root,
2007,FRESH FOOD,all,profit,root,
2007,NON FOOD,all,profit,root,
2008,DRY FOOD,all,profit,root,
2008,FRESH FOOD,all,profit,root,
2008,NON FOOD,all,profit,root,
2007,DRUG GM,25-34,sales,DRY FOOD,5261.69
2007,DRUG GM,35-44,sales,DRY FOOD,720.51
2007,GROCERY,19-24,sales,DRY FOOD,23286.06
2007,GROCERY,25-34,sales,DRY FOOD,51501.17
2007,GROCERY,35-44,sales,DRY FOOD,90045.16
2007,GROCERY,45-54,sales,DRY FOOD,44688.5
2007,GROCERY,65+,sales,DRY FOOD,691.99
2007,DELI,25-34,sales,FRESH FOOD,6046.61
2007,DELI,45-54,sales,FRESH FOOD,5324.65
2007,MEAT,25-34,sales,FRESH FOOD,13843.42
2007,MEAT,45-54,sales,FRESH FOOD,8792.11
2007,MEAT,55-64,sales,FRESH FOOD,8544.99
2007,MEAT-PCKGD,45-54,sales,FRESH FOOD,5147.62
2007,PASTRY,35-44,sales,FRESH FOOD,1785.18
2007,PRODUCE,25-34,sales,FRESH FOOD,20776.84
2007,PRODUCE,35-44,sales,FRESH FOOD,40651.48
2007,PRODUCE,45-54,sales,FRESH FOOD,35529.54
2007,PRODUCE,55-64,sales,FRESH FOOD,1542.5700000000002
2007,PRODUCE,65+,sales,FRESH FOOD,3471.02
2007,SALAD BAR,35-44,sales,FRESH FOOD,5955.01
2007,KIOSK-GAS,25-34,sales,NON FOOD,209417.32
2007,MISC SALES TRAN,25-34,sales,NON FOOD,18509.49
2007,MISC SALES TRAN,35-44,sales,NON FOOD,14522.81
2008,DRUG GM,25-34,sales,DRY FOOD,5980.5599999999995
2008,DRUG GM,35-44,sales,DRY FOOD,748.87
2008,GROCERY,19-24,sales,DRY FOOD,28146.13
2008,GROCERY,25-34,sales,DRY FOOD,56686.92
2008,GROCERY,35-44,sales,DRY FOOD,107517.88
2008,GROCERY,45-54,sales,DRY FOOD,55954.88
2008,GROCERY,65+,sales,DRY FOOD,769.28
2008,DELI,25-34,sales,FRESH FOOD,6461.77
2008,DELI,45-54,sales,FRESH FOOD,5745.17
2008,MEAT,25-34,sales,FRESH FOOD,15108.51
2008,MEAT,45-54,sales,FRESH FOOD,11362.66
2008,MEAT,55-64,sales,FRESH FOOD,10351.44
2008,MEAT-PCKGD,45-54,sales,FRESH FOOD,5530.78
2008,PASTRY,35-44,sales,FRESH FOOD,2054.35
2008,PRODUCE,25-34,sales,FRESH FOOD,26090.3
2008,PRODUCE,35-44,sales,FRESH FOOD,53955.86
2008,PRODUCE,45-54,sales,FRESH FOOD,50515.57
2008,PRODUCE,55-64,sales,FRESH FOOD,1912.1100000000001
2008,PRODUCE,65+,sales,FRESH FOOD,4431.32
2008,SALAD BAR,35-44,sales,FRESH FOOD,6995.08
2008,KIOSK-GAS,25-34,sales,NON FOOD,294449.79
2008,MISC SALES TRAN,25-34,sales,NON FOOD,27801.83
2008,MISC SALES TRAN,35-44,sales,NON FOOD,19071.67
2007,DRUG GM,all,sales,DRY FOOD,5982.2
2007,GROCERY,all,sales,DRY FOOD,210212.88
2007,DELI,all,sales,FRESH FOOD,11371.259999999998
2007,MEAT,all,sales,FRESH FOOD,31180.52
2007,MEAT-PCKGD,all,sales,FRESH FOOD,5147.62
2007,PASTRY,all,sales,FRESH FOOD,1785.18
2007,PRODUCE,all,sales,FRESH FOOD,101971.45
2007,SALAD BAR,all,sales,FRESH FOOD,5955.01
2007,KIOSK-GAS,all,sales,NON FOOD,209417.32
2007,MISC SALES TRAN,all,sales,NON FOOD,33032.3
2008,DRUG GM,all,sales,DRY FOOD,6729.429999999999
2008,GROCERY,all,sales,DRY FOOD,249075.09
2008,DELI,all,sales,FRESH FOOD,12206.94
