YEAR,child,CUSTOMER_AGE_GROUP,BRAND,VAR_CM,X_AXIS,ORDER_BY,VAR_SP,parent,TOTAL_VALUE
2007,DRY FOOD,25-34,all,all,all,0,sales,root,
2007,DRY FOOD,35-44,all,all,all,0,sales,root,
2007,DRY FOOD,19-24,all,all,all,0,sales,root,
2007,DRY FOOD,45-54,all,all,all,0,sales,root,
2007,DRY FOOD,65+,all,all,all,0,sales,root,
2007,FRESH FOOD,25-34,all,all,all,0,sales,root,
2007,FRESH FOOD,45-54,all,all,all,0,sales,root,
2007,FRESH FOOD,55-64,all,all,all,0,sales,root,
2007,FRESH FOOD,35-44,all,all,all,0,sales,root,
2007,FRESH FOOD,65+,all,all,all,0,sales,root,
2007,NON FOOD,25-34,all,all,all,0,sales,root,
2007,NON FOOD,35-44,all,all,all,0,sales,root,
2008,DRY FOOD,25-34,all,all,all,0,sales,root,
2008,DRY FOOD,35-44,all,all,all,0,sales,root,
2008,DRY FOOD,19-24,all,all,all,0,sales,root,
2008,DRY FOOD,45-54,all,all,all,0,sales,root,
2008,DRY FOOD,65+,all,all,all,0,sales,root,
2008,FRESH FOOD,25-34,all,all,all,0,sales,root,
2008,FRESH FOOD,45-54,all,all,all,0,sales,root,
2008,FRESH FOOD,55-64,all,all,all,0,sales,root,
2008,FRESH FOOD,35-44,all,all,all,0,sales,root,
2008,FRESH FOOD,65+,all,all,all,0,sales,root,
2008,NON FOOD,25-34,all,all,all,0,sales,root,
2008,NON FOOD,35-44,all,all,all,0,sales,root,
2007,DRY FOOD,all,all,all,all,0,sales,root,
2007,FRESH FOOD,all,all,all,all,0,sales,root,
2007,NON FOOD,all,all,all,all,0,sales,root,
2008,DRY FOOD,all,all,all,all,0,sales,root,
2008,FRESH FOOD,all,all,all,all,0,sales,root,
2008,NON FOOD,all,all,all,all,0,sales,root,
2007,DRY FOOD,25-34,NATIONAL,all,all,0,sales,root,
2007,DRY FOOD,35-44,NATIONAL,all,all,0,sales,root,
2007,DRY FOOD,19-24,NATIONAL,all,all,0,sales,root,
2007,DRY FOOD,19-24,PRIVATE,all,all,0,sales,root,
2007,DRY FOOD,25-34,PRIVATE,all,all,0,sales,root,
2007,DRY FOOD,35-44,PRIVATE,all,all,0,sales,root,
2007,DRY FOOD,45-54,NATIONAL,all,all,0,sales,root,
2007,DRY FOOD,45-54,PRIVATE,all,all,0,sales,root,
2007,DRY FOOD,65+,PRIVATE,all,all,0,sales,root,
2007,FRESH FOOD,25-34,NATIONAL,all,all,0,sales,root,
2007,FRESH FOOD,45-54,NATIONAL,all,all,0,sales,root,
2007,FRESH FOOD,55-64,NATIONAL,all,all,0,sales,root,
2007,FRESH FOOD,35-44,NATIONAL,all,all,0,sales,root,
2007,FRESH FOOD,35-44,PRIVATE,all,all,0,sales,root,
2007,FRESH FOOD,45-54,PRIVATE,all,all,0,sales,root,
2007,FRESH FOOD,55-64,PRIVATE,all,all,0,sales,root,
2007,FRESH FOOD,65+,NATIONAL,all,all,0,sales,root,
2007,NON FOOD,25-34,PRIVATE,all,all,0,sales,root,
2007,NON FOOD,35-44,PRIVATE,all,all,0,sales,root,
2008,DRY FOOD,25-34,NATIONAL,all,all,0,sales,root,
2008,DRY FOOD,35-44,NATIONAL,all,all,0,sales,root,
2008,DRY FOOD,19-24,NATIONAL,all,all,0,sales,root,
2008,DRY FOOD,19-24,PRIVATE,all,all,0,sales,root,
2008,DRY FOOD,25-34,PRIVATE,all,all,0,sales,root,
2008,DRY FOOD,35-44,PRIVATE,all,all,0,sales,root,
2008,DRY FOOD,45-54,NATIONAL,all,all,0,sales,root,
2008,DRY FOOD,45-54,PRIVATE,all,all,0,sales,root,
2008,DRY FOOD,65+,PRIVATE,all,all,0,sales,root,
2008,FRESH FOOD,25-34,NATIONAL,all,all,0,sales,root,
2008,FRESH FOOD,45-54,NATIONAL,all,all,0,sales,root,
2008,FRESH FOOD,55-64,NATIONAL,all,all,0,sales,root,
2008,FRESH FOOD,35-44,NATIONAL,all,all,0,sales,root,
2008,FRESH FOOD,35-44,PRIVATE,all,all,0,sales,root,
2008,FRESH FOOD,45-54,PRIVATE,all,all,0,sales,root,
2008,FRESH FOOD,55-64,PRIVATE,all,all,0,sales,root,
2008,FRESH FOOD,65+,NATIONAL,all,all,0,sales,root,
2008,NON FOOD,25-34,PRIVATE,all,all,0,sales,root,
2008,NON FOOD,35-44,PRIVATE,all,all,0,sales,root,
2007,DRY FOOD,all,NATIONAL,all,all,0,sales,root,
2007,DRY FOOD,all,PRIVATE,all,all,0,sales,root,
2007,FRESH FOOD,all,NATIONAL,all,all,0,sales,root,
2007,FRESH FOOD,all,PRIVATE,all,all,0,sales,root,
2007,NON FOOD,all,PRIVATE,all,all,0,sales,root,
2008,DRY FOOD,all,NATIONAL,all,all,0,sales,root,
2008,DRY FOOD,all,PRIVATE,all,all,0,sales,root,
2008,FRESH FOOD,all,NATIONAL,all,all,0,sales,root,
2008,FRESH FOOD,all,PRIVATE,all,all,0,sales,root,
2008,NON FOOD,all,PRIVATE,all,all,0,sales,root,
2007,DRY FOOD,25-34,all,month,Jan,1,sales,root,
2007,DRY FOOD,25-34,all,month,Feb,2,sales,root,
2007,DRY FOOD,25-34,all,month,Mar,3,sales,root,
2007,DRY FOOD,25-34,all,month,Apr,4,sales,root,
2007,DRY FOOD,25-34,all,month,May,5,sales,root,
2007,DRY FOOD,25-34,all,month,Jun,6,sales,root,
2007,DRY FOOD,25-34,all,month,Jul,7,sales,root,
2007,DRY FOOD,25-34,all,month,Aug,8,sales,root,
2007,DRY FOOD,25-34,all,month,Sep,9,sales,root,
2007,DRY FOOD,25-34,all,month,Oct,10,sales,root,
2007,DRY FOOD,25-34,all,month,Nov,11,sales,root,
2007,DRY FOOD,25-34,all,month,Dec,12,sales,root,
2007,DRY FOOD,35-44,all,month,Jan,1,sales,root,
2007,DRY FOOD,35-44,all,month,Feb,2,sales,root,
2007,DRY FOOD,35-44,all,month,Mar,3,sales,root,
2007,DRY FOOD,35-44,all,month,Apr,4,sales,root,
2007,DRY FOOD,35-44,all,month,May,5,sales,root,
2007,DRY FOOD,35-44,all,month,Jun,6,sales,root,
2007,DRY FOOD,35-44,all,month,Jul,7,sales,root,
2007,DRY FOOD,35-44,all,month,Aug,8,sales,root,
2007,DRY FOOD,35-44,all,month,Sep,9,sales,root,
2007,DRY FOOD,35-44,all,month,Oct,10,sales,root,
2007,DRY FOOD,35-44,all,month,Nov,11,sales,root,
2007,DRY FOOD,35-44,all,month,Dec,12,sales,root,
2007,DRY FOOD,19-24,all,month,Jan,1,sales,root,
2007,DRY FOOD,19-24,all,month,Feb,2,sales,root,
2007,DRY FOOD,19-24,all,month,Mar,3,sales,root,
2007,DRY FOOD,19-24,all,month,Apr,4,sales,root,
2007,DRY FOOD,19-24,all,month,May,5,sales,root,
2007,DRY FOOD,19-24,all,month,Jun,6,sales,root,
2007,DRY FOOD,19-24,all,month,Jul,7,sales,root,
2007,DRY FOOD,19-24,all,month,Aug,8,sales,root,
2007,DRY FOOD,19-24,all,month,Sep,9,sales,root,
2007,DRY FOOD,19-24,all,month,Oct,10,sales,root,
2007,DRY FOOD,19-24,all,month,Nov,11,sales,root,
2007,DRY FOOD,19-24,all,month,Dec,12,sales,root,
2007,DRY FOOD,45-54,all,month,Jan,1,sales,root,
2007,DRY FOOD,45-54,all,month,Feb,2,sales,root,
2007,DRY FOOD,45-54,all,month,Mar,3,sales,root,
2007,DRY FOOD,45-54,all,month,Apr,4,sales,root,
2007,DRY FOOD,45-54,all,month,May,5,sales,root,
2007,DRY FOOD,45-54,all,month,Jun,6,sales,root,
2007,DRY FOOD,45-54,all,month,Jul,7,sales,root,
2007,DRY FOOD,45-54,all,month,Aug,8,sales,root,
2007,DRY FOOD,45-54,all,month,Sep,9,sales,root,
2007,DRY FOOD,45-54,all,month,Oct,10,sales,root,
2007,DRY FOOD,45-54,all,month,Nov,11,sales,root,
2007,DRY FOOD,45-54,all,month,Dec,12,sales,root,
2007,DRY FOOD,65+,all,month,Jan,1,sales,root,
2007,DRY FOOD,65+,all,month,Feb,2,sales,root,
2007,DRY FOOD,65+,all,month,Mar,3,sales,root,
2007,DRY FOOD,65+,all,month,Apr,4,sales,root,
2007,DRY FOOD,65+,all,month,May,5,sales,root,
2007,DRY FOOD,65+,all,month,Jun,6,sales,root,
