YEAR,CUSTOMER_AGE_GROUP,DEPARTMENT,CLASS,PRODUCT_DESC,TOTAL_VALUE,BRAND,VAR_CM,ORDER_BY,X_AXIS,VAR_SP,rank
2007,19-24,DRY FOOD,GROCERY,HOT DOG BUNS,177.16,all,all,0,all,sales,3.0
2007,19-24,DRY FOOD,GROCERY,MAINSTREAM WHITE BREAD,141.03,all,all,0,all,sales,4.0
2007,19-24,DRY FOOD,GROCERY,SFT DRNK 2 LITER BTL CARB INCL,189.57,all,all,0,all,sales,2.0
2007,19-24,DRY FOOD,GROCERY,SNACKS/APPETIZERS,97.11,all,all,0,all,sales,5.0
2007,19-24,DRY FOOD,GROCERY,SOFT DRINKS 12/18&15PK CAN CAR,1133.71,all,all,0,all,sales,1.0
2007,25-34,DRY FOOD,DRUG GM,CIGARETTES,233.68,all,all,0,all,sales,1.0
2007,25-34,DRY FOOD,DRUG GM,NEWSPAPER,7.470000000000001,all,all,0,all,sales,2.0
2007,25-34,DRY FOOD,GROCERY,CREAM CHEESE,240.68,all,all,0,all,sales,4.0
2007,25-34,DRY FOOD,GROCERY,FLUID MILK WHITE ONLY,334.47,all,all,0,all,sales,2.0
2007,25-34,DRY FOOD,GROCERY,IWS SINGLE CHEESE,274.61,all,all,0,all,sales,3.0
2007,25-34,DRY FOOD,GROCERY,MAINSTREAM WHITE BREAD,176.42,all,all,0,all,sales,5.0
2007,25-34,DRY FOOD,GROCERY,SOFT DRINKS 12/18&15PK CAN CAR,429.97,all,all,0,all,sales,1.0
2007,25-34,FRESH FOOD,DELI,MEAT: LUNCHMEAT BULK,547.68,all,all,0,all,sales,2.0
2007,25-34,FRESH FOOD,DELI,MEAT: SAUS DRY BULK,737.83,all,all,0,all,sales,1.0
2007,25-34,FRESH FOOD,MEAT,CHICKEN BREAST BONELESS,7225.91,all,all,0,all,sales,1.0
2007,25-34,FRESH FOOD,PRODUCE,APPLES GRANNY SMITH (BULK&BAG),917.67,all,all,0,all,sales,1.0
2007,25-34,FRESH FOOD,PRODUCE,CANTALOUPE WHOLE,210.88,all,all,0,all,sales,5.0
2007,25-34,FRESH FOOD,PRODUCE,CORN YELLOW,222.12,all,all,0,all,sales,4.0
2007,25-34,FRESH FOOD,PRODUCE,ONIONS SWEET (BULK&BAG),593.23,all,all,0,all,sales,3.0
2007,25-34,FRESH FOOD,PRODUCE,ROMA TOMATOES (BULK/PKG),804.24,all,all,0,all,sales,2.0
2007,25-34,NON FOOD,KIOSK-GAS,GASOLINE-REG UNLEADED,68919.98,all,all,0,all,sales,1.0
2007,25-34,NON FOOD,MISC SALES TRAN,GASOLINE-REG UNLEADED,14749.12,all,all,0,all,sales,1.0
2007,35-44,DRY FOOD,DRUG GM,CANDY BARS (SINGLES)(INCLUDING,119.28,all,all,0,all,sales,1.0
2007,35-44,DRY FOOD,GROCERY,EGGS - X-LARGE,183.49,all,all,0,all,sales,5.0
2007,35-44,DRY FOOD,GROCERY,FLUID MILK WHITE ONLY,675.9399999999999,all,all,0,all,sales,2.0
2007,35-44,DRY FOOD,GROCERY,NON-CRBNTD DRNKING/MNERAL WATE,202.16,all,all,0,all,sales,4.0
2007,35-44,DRY FOOD,GROCERY,SHREDDED CHEESE,266.58,all,all,0,all,sales,3.0
2007,35-44,DRY FOOD,GROCERY,SOFT DRINKS 12/18&15PK CAN CAR,1041.4,all,all,0,all,sales,1.0
2007,35-44,FRESH FOOD,PASTRY,SW GDS:DONUTS,95.45,all,all,0,all,sales,1.0
2007,35-44,FRESH FOOD,PRODUCE,APPLES GOLD DELICIOUS (BULK&BA,763.45,all,all,0,all,sales,4.0
2007,35-44,FRESH FOOD,PRODUCE,BANANAS,892.66,all,all,0,all,sales,2.0
2007,35-44,FRESH FOOD,PRODUCE,CABBAGE,463.61,all,all,0,all,sales,5.0
2007,35-44,FRESH FOOD,PRODUCE,GRAPES RED,1049.6299999999999,all,all,0,all,sales,1.0
2007,35-44,FRESH FOOD,PRODUCE,POTATOES SWEET&YAMS,858.73,all,all,0,all,sales,3.0
2007,35-44,FRESH FOOD,SALAD BAR,SALAD BAR FRESH FRUIT,2095.98,all,all,0,all,sales,1.0
2007,35-44,NON FOOD,MISC SALES TRAN,GASOLINE-REG UNLEADED,11070.9,all,all,0,all,sales,1.0
2007,45-54,DRY FOOD,GROCERY,BUTTER,147.42,all,all,0,all,sales,5.0
2007,45-54,DRY FOOD,GROCERY,CREAM CHEESE,307.78000000000003,all,all,0,all,sales,3.0
2007,45-54,DRY FOOD,GROCERY,FLUID MILK WHITE ONLY,555.6899999999999,all,all,0,all,sales,2.0
2007,45-54,DRY FOOD,GROCERY,SFT DRNK 2 LITER BTL CARB INCL,573.72,all,all,0,all,sales,1.0
2007,45-54,DRY FOOD,GROCERY,SHREDDED CHEESE,229.69,all,all,0,all,sales,4.0
2007,45-54,FRESH FOOD,DELI,PREP FD: SIDE DISHES (HOT),2457.59,all,all,0,all,sales,1.0
2007,45-54,FRESH FOOD,MEAT,PRIMAL,4453.9800000000005,all,all,0,all,sales,1.0
2007,45-54,FRESH FOOD,MEAT-PCKGD,ENTREES,76.91,all,all,0,all,sales,2.0
2007,45-54,FRESH FOOD,MEAT-PCKGD,PREMIUM - MEAT,187.32999999999998,all,all,0,all,sales,1.0
2007,45-54,FRESH FOOD,PRODUCE,APPLES GALA (BULK&BAG),800.57,all,all,0,all,sales,4.0
2007,45-54,FRESH FOOD,PRODUCE,GRAPES RED,1617.68,all,all,0,all,sales,2.0
2007,45-54,FRESH FOOD,PRODUCE,GRAPES WHITE,1976.85,all,all,0,all,sales,1.0
